cpi_month,cpi_index_2003_100,source_series_code
2020-01-01,446.45000000,TP.FG.J0
2020-02-01,448.02000000,TP.FG.J0
2020-03-01,450.58000000,TP.FG.J0
2020-04-01,454.43000000,TP.FG.J0
2020-05-01,460.62000000,TP.FG.J0
2020-06-01,465.84000000,TP.FG.J0
2020-07-01,468.56000000,TP.FG.J0
2020-08-01,472.61000000,TP.FG.J0
2020-09-01,477.21000000,TP.FG.J0
2020-10-01,487.38000000,TP.FG.J0
2020-11-01,498.58000000,TP.FG.J0
2020-12-01,504.81000000,TP.FG.J0
2021-01-01,513.30000000,TP.FG.J0
2021-02-01,517.96000000,TP.FG.J0
2021-03-01,523.53000000,TP.FG.J0
2021-04-01,532.32000000,TP.FG.J0
2021-05-01,537.05000000,TP.FG.J0
2021-06-01,547.48000000,TP.FG.J0
2021-07-01,557.36000000,TP.FG.J0
2021-08-01,563.60000000,TP.FG.J0
2021-09-01,570.66000000,TP.FG.J0
2021-10-01,584.32000000,TP.FG.J0
2021-11-01,604.84000000,TP.FG.J0
2021-12-01,686.95000000,TP.FG.J0
2022-01-01,763.23000000,TP.FG.J0
2022-02-01,799.93000000,TP.FG.J0
2022-03-01,843.64000000,TP.FG.J0
2022-04-01,904.79000000,TP.FG.J0
2022-05-01,931.76000000,TP.FG.J0
2022-06-01,977.90000000,TP.FG.J0
2022-07-01,1001.03000000,TP.FG.J0
2022-08-01,1015.65000000,TP.FG.J0
2022-09-01,1046.89000000,TP.FG.J0
2022-10-01,1084.00000000,TP.FG.J0
2022-11-01,1115.26000000,TP.FG.J0
2022-12-01,1128.45000000,TP.FG.J0
2023-01-01,1203.48000000,TP.FG.J0
2023-02-01,1241.33000000,TP.FG.J0
2023-03-01,1269.75000000,TP.FG.J0
2023-04-01,1300.04000000,TP.FG.J0
2023-05-01,1300.60000000,TP.FG.J0
2023-06-01,1351.59000000,TP.FG.J0
2023-07-01,1479.84000000,TP.FG.J0
2023-08-01,1614.31000000,TP.FG.J0
